time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449800000	16.7235	19.2224	4.72588	2.50761	0.517102	lidar	2.72291	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5345	19.3745	4.73688	2.53165	0.519406	radar	3.205	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3165	19.5292	4.77433	2.55718	0.517392	lidar	0.812989	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0922	19.6135	4.76248	2.60889	0.557622	radar	10.0999	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8896	19.7551	4.7774	2.62914	0.549004	lidar	0.770233	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.699	19.8815	4.76095	2.63328	0.499731	radar	3.19544	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4749	20.0296	4.80104	2.65108	0.49047	lidar	1.39716	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2669	20.169	4.81546	2.66219	0.46993	radar	5.71117	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0761	20.3027	4.80985	2.67322	0.457131	lidar	1.8062	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8466	20.3846	4.80934	2.71137	0.48154	radar	2.16065	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6313	20.5038	4.81941	2.72787	0.47328	lidar	0.652694	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3975	20.5889	4.8303	2.76492	0.50066	radar	1.34094	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1517	20.6631	4.84384	2.79721	0.50775	lidar	0.78988	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9168	20.7331	4.84896	2.83324	0.530003	radar	0.392186	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6467	20.795	4.88444	2.86842	0.537733	lidar	1.95453	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4007	20.8246	4.88751	2.92282	0.591403	radar	2.35855	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1526	20.8675	4.89376	2.9558	0.594709	lidar	0.185153	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9219	20.9255	4.8894	2.97728	0.583953	radar	1.74527	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7133	20.9742	4.85842	2.99866	0.577188	lidar	1.73323	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4642	21.0132	4.87256	3.02716	0.578878	radar	2.62909	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2169	21.0512	4.88374	3.05161	0.573575	lidar	0.197114	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9787	21.0707	4.88135	3.08297	0.582273	radar	0.923233	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7319	21.0435	4.87222	3.12617	0.597696	lidar	1.83589	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4853	21.0299	4.87191	3.16164	0.604172	radar	1.07118	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2632	21.026	4.84866	3.18932	0.602627	lidar	0.626548	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0104	20.987	4.85616	3.22907	0.613062	radar	4.14033	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7934	20.9512	4.82552	3.26357	0.618767	lidar	0.559864	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5447	20.9514	4.82423	3.26676	0.563895	radar	5.66571	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2721	20.9766	4.87212	3.27189	0.536362	lidar	3.43809	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0329	20.9584	4.87001	3.29059	0.524882	radar	1.01622	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82985	20.922	4.8265	3.31688	0.526915	lidar	1.66148	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59172	20.9155	4.81174	3.31279	0.469446	radar	2.34333	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39132	20.8648	4.76902	3.3407	0.475999	lidar	1.21082	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16573	20.8248	4.7613	3.36186	0.474728	radar	1.51912	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88593	20.7898	4.81798	3.37493	0.461106	lidar	1.94882	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66702	20.7114	4.80397	3.40896	0.476905	radar	4.50929	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40039	20.6254	4.84755	3.43768	0.480745	lidar	2.70095	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17173	20.5451	4.84918	3.46732	0.49122	radar	0.110992	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93212	20.4648	4.86214	3.49084	0.489644	lidar	0.127037	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71568	20.3782	4.86058	3.5249	0.51324	radar	3.52062	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42147	20.3188	4.93633	3.52926	0.48729	lidar	3.68653	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19216	20.2213	4.93702	3.55239	0.48337	radar	0.221718	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93171	20.1394	4.97371	3.56449	0.468875	lidar	0.920623	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.70774	20.047	4.96539	3.58083	0.457016	radar	0.425458	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.46007	19.9571	4.9884	3.5933	0.444857	lidar	0.488061	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.24356	19.8628	4.97699	3.61089	0.441054	radar	2.75169	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.9833	19.7707	5.01492	3.6181	0.423586	lidar	1.09827	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.76137	19.6233	5.03884	3.66	0.461273	radar	2.15354	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.57289	19.5026	5.00449	3.68582	0.465313	lidar	1.02677	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.37272	19.3526	5.00113	3.7201	0.4812	radar	1.71039	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.15479	19.2524	4.99724	3.72848	0.463984	lidar	1.88558	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95765	19.1407	4.96298	3.73582	0.435343	radar	4.53128	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78656	18.9896	4.93196	3.76803	0.447968	lidar	0.6485	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58093	18.8394	4.95003	3.79484	0.460015	radar	1.48617	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
